Title,Order,ReleaseYear
Iron Man,2,2008-05-02
The Incredible Hulk,4,2008-06-13
Iron Man 2,3,2010-05-07
Thor,5,2011-05-06
Captain America: The First Avenger,1,2011-07-22
Marvel's The Avengers,6,2012-05-04
Iron Man 3,7,2013-05-03
Thor: The Dark World,8,2013-11-08
Captain America: The Winter Soldier,9,2014-04-04
Guardians of the Galaxy,10,2014-08-01
Avengers: Age of Ultron,12,2015-05-01
Ant-Man,13,2015-07-17
Captain America: Civil War,14,2016-05-06
Doctor Strange,15,2016-11-04
Guardians of the Galaxy Vol. 2,11,2017-05-05
Spider-Man: Homecoming,16,2017-07-07
Thor: Ragnarok,17,2017-11-03
Black Panther,18,2018-02-16
Avengers: Infinity War,19,2018-04-27
Ant-Man and the Wasp,20,2018-07-06
Captain Marvel,21,2019-03-08
Infinity War Endgame (?),22,2019-05-03
